id;Label_A1_positive;Label_A2_negative;Label_A3_neutral
947542963869151233;0;0;1
947542939865047040;1;0;0
947542863402950656;0;0;1
947541994301153280;1;0;0
947541962822791168;0;0;1
947541831868452864;1;0;0
947541611591946241;0;1;0
947540445764161543;0;0;1
947540349131640832;0;0;1
947539462011129856;0;0;1
947539411557896193;1;0;0
947539171324948481;0;1;0
947539139938930688;0;0;1
947538796601663489;0;1;1
947538771334930433;0;0;1
947537961620529152;1;0;0
947537861909385218;0;1;0
947537831517442048;0;1;0
947537497235398656;0;1;0
947537019487637504;0;0;1
947536862582751232;1;0;0
947535412964229120;0;0;1
947535330814713861;0;0;1
947535313685172225;0;1;0
947534928010530821;1;0;0
947534488749277184;0;1;0
947533639516151810;0;1;1
947533628476706816;0;0;1
947533463988645888;0;1;1
947532968427446273;0;0;1
947532848554303488;0;0;1
947532304779374592;0;0;1
947531589331902465;1;1;1
947531455504171009;0;1;0
947531177199636482;0;0;1
947530872961622017;0;0;1
947530459382153220;0;0;1
947530441371897857;0;0;1
947530298807455744;0;0;1
947530086365896704;1;0;1
947528791479418882;0;0;1
947528735007309824;1;0;0
947528186736373761;1;0;0
947528164678537216;0;1;0
947528102317608961;1;0;1
947528086425427968;0;0;1
947528082268807169;0;0;1
947528046390792192;0;0;1
947527891973054464;0;1;0
947527827750051842;0;1;1
947527757742911488;0;0;1
947527624741605380;0;0;1
947526097490579456;0;0;1
947526002141306881;0;1;0
947525360228487168;1;0;0
947525236743987200;1;0;0
947524347790594048;0;1;0
947524341373263872;1;0;0
947521818394378240;0;1;0
947521492715220992;1;0;0
947521318794268672;1;0;0
947521316814573573;0;1;0
947521312146194432;0;1;1
947521294366625793;0;0;1
947521236988555264;0;0;1
947521122156806144;0;0;1
947521058592247809;0;1;0
947520928476487681;0;1;0
947520915222474753;0;1;0
947520856305098752;1;0;1
947520827754450944;0;0;1
947520657641832449;0;0;1
947520568420691969;1;1;0
947520517099188225;0;0;1
947520285431025664;1;0;0
947518973301714946;0;1;0
947517790923223041;0;1;0
947517745289224193;0;0;1
947517732756557827;1;0;0
947517697398538240;0;1;0
947517459170545669;0;1;0
947517194572910593;0;1;0
947517043984740352;1;0;0
947517032408408064;0;0;1
947516859817054209;0;0;1
947516818213793792;1;0;0
947516457457512453;0;0;1
947515236902428672;1;0;0
947515181634129921;0;1;0
947514585363484672;0;0;1
947514228394610690;0;1;0
947514209524318208;0;1;0
947514178163675139;0;1;1
947513179537657857;1;0;0
947513011316711425;1;0;1
947512580783796224;0;1;0
947512570075738114;1;0;0
947512029320945666;1;0;0
947511619818545152;0;0;1
947511484803899392;1;0;0
947510970607460355;1;0;0
947510150407049216;0;0;1
947510052671324170;0;0;1
947510048766410753;0;1;0
947509928662417408;0;1;0
947509880541274113;1;0;0
947509454450421760;0;1;0
947509404592721920;0;1;0
947509034550210561;1;0;0
947508949573611520;0;0;1
947508273758064640;1;0;1
947508083424661504;1;0;0
947507961152274434;1;0;0
947507937064472577;1;0;0
947507631694012416;1;0;0
947507431818645504;0;0;1
947506738420383744;0;0;1
947506651606802432;0;1;0
947506487026438145;1;0;0
947506323901599744;0;1;0
947506022133899264;0;1;0
947505356929978374;1;0;0
947505297752559616;0;0;1
947505249329217536;0;0;1
947505157679575042;1;0;1
947505139572543493;0;0;1
947505114205614080;0;1;0
947504349076508672;1;0;0
947503131520356352;0;1;0
947503112293675012;1;0;0
947502610264682496;1;0;0
947502455570468864;0;0;1
947502425367248897;1;0;0
947502406383828992;1;0;0
947502380320477184;0;0;1
947501902446465024;0;0;1
947501764487581696;0;1;0
947501672590438400;0;0;1
947501110457196544;0;0;1
947499948160974848;0;0;1
947499920755486725;0;1;0
947499916871450626;0;0;1
947499901616869378;0;0;1
947498904647593985;1;0;0
947498472902717440;0;0;1
947497913013424128;0;1;0
947497876501954561;0;1;1
947497834844164097;0;0;1
947497815080669185;0;1;0
947497719777644545;0;0;1
947497686265139200;0;1;0
947497669810950144;0;0;1
947496909517807616;0;0;1
947495874942431238;0;0;1
947495796752179202;1;0;0
947495047293034496;0;0;1
947494952992251904;1;0;0
947494905315721216;1;1;0
947494789842382848;0;0;1
947494708611309568;1;0;0
947494600008175620;0;0;1
947494217496047616;0;1;0
947494003448131584;0;1;0
947493701562933250;0;0;1
947493021813280769;1;0;0
947492916846612480;0;1;0
947492859531464704;0;0;1
947492818490216448;0;0;1
947492678203297792;1;0;0
947492393821057024;1;0;0
947492211545001984;0;1;0
947491851812163585;0;0;1
947491813215977472;0;1;0
947491808484892673;0;0;1
947491750997909505;0;0;1
947491486895140864;0;1;1
947491341914791937;0;0;1
947491305793323008;0;1;0
947491185089765376;0;0;1
947491079326224385;0;0;1
947491007666491392;0;1;0
947490859087482880;0;0;1
947490845040742400;0;0;1
947490821049344001;1;0;0
947490607840268290;1;0;0
947490532133167104;0;1;0
947490318957645825;0;0;1
947490159771217921;1;0;1
947490158336757760;0;1;0
947490106977538048;0;0;1
947489306448347136;0;1;1
947489304846241793;0;1;0
947489292087050240;0;1;1
947489182024458241;1;0;0
947489018479984641;1;1;0
947488834689880065;0;0;1
947488729052020737;0;1;0
947488571484770304;0;0;1
947487776823394304;0;0;1
947487576495149058;0;1;0
947487528243757057;0;0;1
947486860670132224;1;0;0
947486435786964993;1;0;0
947486303758749696;0;1;0
947485582317498370;0;1;0
947485580363030528;1;0;0
947484981231792128;0;1;0
947484917721477122;1;0;0
947484765044727809;0;1;0
947484282938781698;0;1;0
947484275376521216;0;1;0
947484230220767237;0;0;1
947483876263432193;1;0;0
947483803743932416;0;1;0
947483360959586304;0;0;1
947483237982638080;0;1;0
947482675383881729;0;0;1
947482668064804864;1;0;0
947482662960287744;0;1;0
947482628030193664;0;0;1
947482588716896256;0;1;0
947482564494811137;0;0;1
947482464959844352;0;1;0
947481168479444993;0;0;1
947480265214984192;0;0;1
947480064349933568;1;0;0
947479951355281408;1;0;0
947479752591511552;1;1;0
947479358905741313;0;1;0
947478816527716353;0;0;1
947478798316032000;1;0;0
947478281959469056;1;1;0
947477968778956800;1;0;0
947477956917628929;0;0;1
947477942447280128;0;0;1
947477933458726913;0;0;1
947477622996553729;1;0;0
947477568671936516;0;0;1
947476687759069185;0;0;1
947476302214451200;0;0;1
947475489014284288;0;0;1
947475287499001862;1;0;0
947474974440415234;0;0;1
947474914491150337;0;0;1
947474711872667650;0;0;1
947474378391920641;1;0;0
947473164069752832;0;0;1
947472984792600576;0;0;1
947472747076182016;0;0;1
947472399494152192;0;1;0
947471450042175488;0;0;1
947471138682175488;0;1;0
947469924976357376;1;0;0
947469882022612993;1;0;1
947469844437454849;1;0;1
947469613218091009;1;0;0
947469533517926400;1;0;0
947468333267300352;0;1;0
947468201897709568;0;0;1
947467914235580416;1;0;0
947467563985985536;0;0;1
947467535536017410;0;1;0
947467387338620929;0;0;1
947466472598790145;0;0;1
947465553526120448;0;1;0
947465399200829440;0;0;1
947465204383846400;0;1;1
947464841840734208;1;0;0
947464586478964736;0;1;0
947464366785515520;0;1;0
947464247751081984;0;1;0
947464247214084096;0;1;0
947463116455104512;0;1;0
947462958300483584;0;1;0
947461972026707969;0;1;0
947460933256744961;1;0;0
947460845616975872;1;0;0
947460305759727616;0;1;0
947460103158095872;0;0;1
947460039635341312;0;1;0
947460002046009345;1;0;0
947458023340982272;0;0;1
947457408783093760;0;1;0
947457353741492230;0;1;0
947457258576842752;0;1;0
947456487936360448;0;1;0
947454976346992640;0;1;0
947454896021917696;1;0;0
947454269510254592;0;1;0
947454187197132800;0;0;1
947453527646863363;0;1;0
947453047415984128;0;0;1
947452935319023616;0;1;0
947452316923453441;0;0;1
947452294034886657;1;1;1
947450296334249987;1;0;0
947449960513011712;0;0;1
947449261582684161;1;0;0
947448798917419008;0;0;1
947448367684182016;1;0;0
947446778827366400;0;0;1
947445914666438656;0;1;0
947445737637412864;0;1;0
947445000232677379;0;0;1
947444731046277127;0;0;1
947444418457624577;0;0;1
947444344549552129;1;0;0
947444111308705792;1;0;0
947442484396937216;0;0;1
947441225992409089;0;1;0
947440456513794049;1;0;0
947440395935416321;0;1;0
947439803708133376;0;0;1
947439749538643968;0;0;1
947438970757038080;0;1;0
947438503767527424;0;0;1
947438465712574464;0;1;0
947438455293906950;0;1;0
947438270039969792;1;0;0
947438110257876992;0;1;0
947438056856055808;0;1;0
947437779524489216;1;0;0
947437652231512064;1;0;0
947437502536830976;0;1;0
947437499026231298;1;0;0
947437373272547328;0;1;0
947437312270655488;0;0;1
947437258025635840;0;0;1
947437208587460608;0;1;0
947437007646715904;0;1;0
947436647972352000;1;0;0
947436614355058693;1;0;0
947436560416358401;0;0;1
947436124754055168;0;1;0
947436096815759360;1;0;0
947436087265423361;1;0;0
947435453506080768;1;0;1
947435112593002497;0;0;1
947434805095993344;1;0;0
947433596276629504;1;0;0
947433064300290048;1;0;0
947431685116846081;0;1;0
947431481336631301;0;0;1
947431433559330816;1;1;0
947430806284308480;0;1;0
947429645787582464;0;1;0
947429629748445185;0;1;0
947429553072459777;1;0;0
947428777579118597;0;1;0
947428684163637248;0;0;1
947428028929290240;0;0;1
947426960157958144;1;0;0
947426194630348800;0;1;0
947423929173512197;0;0;1
947423644455702528;1;0;0
947422619703435265;0;1;1
947422367281745920;0;1;1
947422259999920128;0;0;1
947422150763405313;1;1;0
947422085369999360;0;0;1
947421142687592448;1;1;0
947420819138973696;1;0;0
947419912028516353;0;0;1
947419809465200640;1;0;0
947418623806771200;0;0;1
947418323368792064;0;0;1
947417547502161921;0;0;1
947416476180344832;0;0;1
947415798666194944;1;0;1
947414450944036864;0;0;1
947414441251037185;1;0;0
947414438876938240;1;0;0
947411507951882240;0;0;1
947409012890333189;1;0;1
947408705674514432;0;1;0
947407438013136896;0;0;1
947407114326237185;1;0;0
947407031148924928;1;0;1
947406988396322816;0;0;1
947406479287640064;0;0;1
947405403159171073;0;0;1
947403495552049152;1;0;0
947403410827071488;0;0;1
947400995084165120;1;1;0
947399032237973504;1;0;0
947397375475118081;0;1;0
947396912516337664;0;1;1
947396019897151488;0;1;1
947395737444388869;0;1;0
947395503720976384;1;0;0
947394867360972801;0;1;1
947394738747072512;0;1;1
947392171774218241;0;1;1
947391963883560962;0;1;1
947391050418552832;0;1;0
947389757440516097;0;1;0
947389614439976960;1;0;1
947385448254529541;1;0;1
947384899991932929;0;1;0
947384475478044672;1;0;1
947382810460827648;1;0;0
947382756505522177;1;0;0
947382612410036225;1;0;0
947382594798206976;0;1;0
947381870525685760;1;0;0
947381852431638528;0;1;1
947381099407265793;0;0;1
947380816140570624;0;1;0
947380322085113857;0;0;1
947380096083439617;0;0;1
947379335660560385;1;1;0
947378556920741888;0;1;0
947375543149883392;0;0;1
947371393116721154;0;1;0
947368537127116800;0;1;0
947367315779317765;0;0;1
947367032080695297;1;0;0
947366807307829249;0;0;1
947366227340439552;0;1;0
947365585855315968;0;0;1
947362070588284928;0;1;0
947361942179598337;1;1;1
947360959374376960;0;0;1
947360828029796353;1;1;0
947360826046013440;0;0;1
947358584244813824;0;0;1
947358188751405056;0;1;0
947357894982320128;0;0;1
947357651494727685;0;0;1
947357580141228032;0;1;0
947357187692785666;1;0;0
947356541577031680;0;0;1
947356338836840449;0;1;0
947355743690379265;0;0;1
947355742339829760;0;1;0
947355740892786688;1;1;0
947355739554766848;0;1;0
947355738300669952;0;0;1
947354411000528896;1;0;0
947354135732428801;0;1;0
947353475901304832;1;0;0
947353419915890688;1;1;0
947352911368953856;1;0;1
947352158747447296;0;0;1
947351441982844928;0;1;1
947351370675363840;1;0;0
947350306819538944;1;0;0
947350106868736000;0;0;1
947349378167123968;0;0;1
947348770995429376;1;0;0
947347860202315777;0;1;0
947347000999243776;0;1;1
947346328929161216;0;0;1
947345371986055173;0;0;1
947344906779025408;0;0;1
947344739753267201;0;1;1
947344144657154049;0;1;0
947343904017387521;0;1;0
947340799926206465;1;0;0
947340730770497537;0;1;0
947339545468637184;0;1;0
947336317037244416;1;0;0
947335584401510400;0;0;1
947335331916984320;0;0;1
947335143445925888;0;0;1
947335141973807104;0;1;1
947334671377010689;0;1;0
947333529637093376;1;0;0
947333527732936704;1;0;1
947333520988495872;1;0;0
947333508049129472;1;0;1
947332640385925120;0;0;1
947332285837336576;1;0;1
947331027206369280;0;0;1
947329802272428032;0;1;0
947329325900103680;1;0;1
947327410441158656;1;0;1
947326924052983809;0;0;1
947326022738997248;0;1;0
947324686400180224;1;0;0
947323176521949184;1;0;0
947322723876986881;0;0;1
947322058073104384;0;0;1
947321683156779010;0;1;0
947321627439755264;1;0;1
947319153903489024;0;0;1
947318496639225857;0;1;0
947317010630955008;1;0;0
947316705780490241;0;1;0
947316633688686594;1;0;1
947316622582169600;0;1;1
947315255918469121;0;0;1
947314843287031808;0;1;1
947314494212071424;1;0;0
947313904400650242;1;0;0
947313854723313664;1;0;0
947312688056606720;1;0;0
947311952086388736;0;1;1
947311336710647809;1;0;0
947310897420259328;0;0;1
947308839535370240;1;0;0
947308839531147264;1;0;1
947308820832968704;1;0;0
947308672123891712;0;1;0
947308603052085248;1;0;0
947307674365968385;0;1;0
947307391229468673;1;1;0
947307065298636800;1;0;0
947306809030668289;0;0;1
947306539655843840;0;0;1
947306305185894400;0;0;1
947305658725965824;0;0;1
947305377015705600;1;0;0
947303789048057857;0;0;1
947302981979947008;0;0;1
947301413805322245;0;1;0
947301313376858112;0;0;1
947301270737620992;0;0;1
947301252643221504;1;1;0
947301003736387584;0;1;0
947300674110291969;1;0;1
947298755354791937;0;1;0
947297279127576576;0;0;1
947297270701215744;1;0;1
947297085530898433;1;0;1
947295892243181574;1;0;0
947295522636877824;0;0;1
947295256432840706;0;1;0
947294488229060610;0;0;1
947293780650098688;0;1;0
947292323209207808;1;0;1
947292263784345601;0;1;0
947292187385040897;0;1;0
947291206412918784;0;0;1
947290727469416448;1;0;1
947290213822423040;0;1;1
947290209502277632;1;0;0
947290147850092545;0;0;1
947290112148365314;1;0;0
947289759344414720;1;0;0
947289450303934465;1;0;0
947288690342146048;0;0;1
947287696438788101;1;0;0
947286960250306560;0;0;1
947286269247320065;1;0;0
947286257792675840;1;0;0
947283656346947584;1;0;1
947282783830986752;1;0;0
947282742181367809;0;0;1
947282422449758208;1;1;0
947282242694414336;0;0;1
947281837294006272;0;1;0
947281139458338816;1;0;1
947280617363951616;0;0;1
947279678489759744;1;0;1
947279640489529344;0;1;0
947279236032692226;1;1;0
947278615443488768;0;1;0
947278487936577537;0;1;0
947277602321940480;0;1;0
947277599105044480;1;0;0
947277424353349634;1;0;1
947277291683500038;0;0;1
947276695178022913;0;0;1
947276625711841280;0;0;1
947274870831886336;0;0;1
947274409642987520;1;1;0
947273871928860672;1;0;0
947273871471681537;0;1;0
947273871236853760;0;1;0
947273869060063232;0;1;0
947273868971974656;0;0;1
947273867822751744;0;0;1
947273867684220929;0;0;1
947273637744308225;1;0;0
947272911857094656;1;0;0
947271859707547649;1;1;0
947271073866895360;0;0;1
947270854869704704;0;0;1
947269378806112258;0;0;1
947268282381492224;0;1;0
947264629004173322;0;1;0
947262772403941376;0;0;1
947262075545505793;1;0;0
947261745000800257;0;0;1
947261055276687361;0;1;0
947260350646407168;1;0;0
947260349593673728;0;1;0
947260234409693184;1;1;0
947260192089141249;1;0;0
947260184572973057;1;0;1
947260173063720960;0;1;0
947259914535055360;0;1;0
947259603544285184;0;0;1
947259592941146113;1;1;0
947259405317410816;0;1;0
947259084146987008;0;1;1
947258489428234245;0;1;1
947257408916787200;0;0;1
947257265479933954;0;1;0
947256982398033920;0;1;0
947256821651333122;1;0;0
947256155931373575;1;0;0
947255972443181057;1;0;0
947255838812413954;0;0;1
947254829088428038;0;0;1
947254823199608833;0;1;0
947253455550386176;1;0;1
947253301728370689;1;0;0
947251552179417088;1;0;0
947250593088917506;0;1;1
947250400247169024;0;0;1
947249912860893184;1;1;0
947249563760582656;0;1;1
947249326249709568;0;1;0
947249008543662082;1;0;1
947248637175836677;1;0;0
947248424663113728;0;1;0
947248096068751361;0;1;0
947247009672630272;0;0;1
947247000646553601;0;0;1
947246424592404480;0;1;0
947246042986168320;0;0;1
947246007573712896;0;0;1
947245756565676037;0;1;0
947245623979401217;1;0;0
947245162664566784;0;0;1
947244757087956999;0;1;0
947243964486307841;0;0;1
947243332652056576;1;0;1
947243224564944897;1;0;0
947243117048197120;0;0;1
947242887846043654;1;0;0
947242792698257408;0;0;1
947242685890551810;0;1;0
947242354846633985;1;0;0
947241706835136513;0;0;1
947241662677487616;0;0;1
947241544980996096;0;1;0
947240900098486273;1;1;0
947240135803928577;0;0;1
947239966555365376;1;0;0
947238653067169792;1;0;0
947238512948137984;0;1;1
947238388637360129;0;0;1
947238357784031238;0;1;0
947237996457205761;0;1;0
947237896934658048;0;0;1
947237860180029440;1;0;0
947237755943358464;0;1;0
947237127087149057;0;1;0
947235909816258561;1;0;0
947235881810841601;0;1;0
947235419053330432;0;1;0
947235358374232064;0;1;0
947235339781005312;0;1;0
947235260340883456;1;0;0
947233686470250496;0;1;0
947233662315253760;1;0;0
947233569339949056;0;0;1
947233490227154944;0;1;0
947233349768228866;0;0;1
947232546114494464;1;0;0
947231998476775424;0;1;1
947230629195739136;0;1;0
947230605183471617;0;1;0
947230415659692032;0;1;1
947229858530234369;0;0;1
947229853807505408;1;0;0
947229781678051328;1;0;0
947229579428671489;1;0;0
947229322246471680;0;0;1
947229186241921024;1;0;0
947228806091345922;0;1;0
947228709005811712;0;1;0
947227601411637254;0;0;1
947227446113214464;0;0;1
947227340928638976;0;1;0
947227189103288322;1;0;1
947227156358234113;0;0;1
947227099198353411;1;0;0
947227006902702082;1;0;1
947226803516489728;1;0;0
947226689020579840;1;1;0
947226308395839488;1;1;0
947226005923680256;1;0;0
947226001574191110;1;0;1
947225944611348480;0;1;0
947225806249627649;0;0;1
947225792525647873;1;0;0
947225792043462657;0;1;1
947225627857473537;1;0;1
947225202496118784;0;1;0
947224147842781184;1;0;0
947224080989683712;0;1;1
947223795198128128;0;0;1
947223380608143361;1;0;0
947223257719234560;1;0;1
947223019453407232;0;1;0
947222973769011200;1;0;0
947222956878393344;0;0;1
947222942794043393;1;0;0
947222849663717386;0;1;1
947222411803594755;0;0;1
947222247743414274;0;1;0
947222157247107073;1;0;0
947222157230161920;1;1;0
947222088733089792;1;0;0
947222060555743233;1;0;0
947221792426545152;1;1;0
947221549169250304;0;1;0
947221527312789504;1;0;0
947221524926177280;0;0;1
947221375177187330;1;0;0
947221330801385479;0;0;1
947221321661976578;0;1;0
947221316809011201;0;0;1
947221269556154371;0;1;0
947221075099754496;0;1;0
947220169868398594;0;0;1
947219959264022529;0;0;1
947219513388556290;0;1;0
947219329833144320;1;0;0
947219322635804673;1;0;1
947219239127183361;0;1;0
947218291742867456;1;0;0
947217279653068800;0;1;0
947215708500447233;1;0;1
947215505160572928;0;0;1
947215232115597313;0;1;0
947214843945345024;0;0;1
947214808046231552;0;1;0
947214701037064193;0;0;1
947214669701267456;0;1;0
947213957055496192;0;0;1
947212268659462144;0;1;0
947212023758278659;0;1;0
947211728210849792;0;1;0
947211100386398209;0;0;1
947210880831442946;0;1;1
947210742855618560;0;1;0
947210716481835010;0;1;1
947210692825964554;1;0;0
947210653122543616;1;1;0
947210397064581122;0;1;0
947209633080467456;0;0;1
947208984662069249;0;0;1
947208800536334337;1;0;0
947208022014775296;0;0;1
947206546559307777;1;0;0
947205284690386945;0;1;0
947204955739389952;1;0;0
947203824468529155;0;1;0
947203792516276224;1;0;0
947203387489124353;0;1;0
947203259441254401;0;0;1
947202386740891648;0;0;1
947201875543298048;0;1;0
947201873857085440;0;1;0
947201184124694528;1;0;1
947200876124561408;0;0;1
947200786467090432;1;1;0
947200648474431489;0;1;0
947200609123553280;0;1;0
947200553641283590;0;1;0
947200505465507840;0;0;1
947198890922729473;0;0;1
947198624403832832;1;0;0
947198573619265536;0;0;1
947198418182660096;0;1;0
947198091387719681;1;0;0
947197641716355072;1;1;1
947197599609704448;0;1;0
947197415840473090;0;0;1
947197273804550144;1;0;1
947197107357626368;1;0;1
947196894740131840;0;1;0
947196877207998464;1;0;1
947196864973234176;0;1;1
947196406997041154;0;1;0
947196356455751680;1;0;0
947195694649143296;0;0;1
947195588210073601;0;1;0
947195102878867456;0;1;0
947195084407271424;1;0;0
947193276146298881;1;0;0
947193057979588610;1;0;0
947193000836435969;0;0;1
947192986215043072;0;1;0
947192168300429313;0;1;1
947191043900002304;1;0;1
947190804744830976;0;1;0
947190448879046656;1;0;0
947190439790211073;0;0;1
947190280121475072;0;0;1
947190133270433792;1;1;0
947189989242175488;1;0;0
947189751706193920;1;0;0
947189619698864129;1;1;0
947189398763909120;0;0;1
947187727484817409;1;1;0
947187619166765056;0;0;1
947187549411225600;0;1;0
947187121177194498;1;0;0
947186798031179776;0;1;1
947186778393284608;1;1;0
947186750190796800;0;1;0
947186297403305984;0;1;1
947186138602725376;0;0;1
947185546669035521;0;0;1
947185509834608640;0;1;0
947185126085218304;0;0;1
947185019646300163;0;0;1
947183502512082944;1;0;0
947183103751180288;1;1;0
947183101263966209;0;1;0
947183071836737536;0;1;0
947182992761458689;1;0;1
947182751291023360;0;1;0
947182520713453568;0;0;1
947182274046562304;1;0;0
947181462440333312;0;0;1
947181276217430016;1;1;0
947180803418497025;0;0;1
947180726792982528;0;0;1
947180544772726784;0;0;1
947180522576470016;1;0;0
947180499776278529;1;0;0
947180475164057600;0;0;1
947179315648659456;1;1;0
947179002007048193;1;0;1
947178506315862021;0;0;1
947178004110761984;1;0;0
947177957738647553;1;0;0
947177852880945154;1;0;0
947177639558680578;0;0;1
947177031808061441;0;1;0
947176712084664320;1;0;0
947176086474981376;1;0;0
947176033517576192;0;0;1
947175747726249984;0;1;0
947175504334999552;0;1;0
947175417210855424;0;1;0
947174954742767616;0;1;0
947173931865329664;1;0;1
947173905592135681;0;0;1
947173779993694209;0;1;1
947173442289315841;0;0;1
947172974926417920;0;0;1
947172482020147200;0;0;1
947172228495564800;0;0;1
947172011469672448;0;1;0
947171700180795392;0;0;1
947170864717496320;0;0;1
947170693933809665;0;0;1
947169530857639937;0;0;1
947169222022414337;1;0;0
947169215634690049;0;1;1
947168470684389377;1;0;0
947167990465908737;0;1;0
947167412893261824;0;0;1
947167318064467969;0;1;1
947167132583911424;1;0;0
947166886222901248;0;0;1
947166722385203200;1;0;0
947166498228805632;0;0;1
947166363914833922;0;1;0
947166218229833728;0;0;1
947166177662570499;0;1;0
947165897780801536;0;0;1
947165841044529152;0;1;0
947165791962660866;0;1;0
947165786833113089;0;1;0
947165611154690048;0;0;1
947165519303413761;0;0;1
947165445970448384;0;1;1
947165410973175809;0;0;1
947165402840354816;1;1;0
947165375220867072;0;0;1
947165109595631616;0;1;0
947164893593128963;0;1;0
947164162211368960;0;1;0
947163973329268738;0;1;0
947163556839067648;0;0;1
947163180119228417;1;0;0
947162859519250433;0;1;0
947162587820580865;0;1;0
947161110041579520;0;1;0
947160665831235584;0;1;0
947160396976283648;0;0;1
947160229216743427;1;0;0
947160076057481217;0;0;1
947159846062829568;0;1;0
947159667125424134;1;0;0
947159566352969728;1;0;1
947159200471310336;1;0;0
947159145379188736;1;0;1
947158012027949056;0;0;1
947157835619684352;1;0;0
947157510120714240;1;0;0
947156712636801025;0;1;0
947156655845785600;0;1;1
947156490225377281;0;0;1
947156404560900096;0;1;0
947155885826166784;0;0;1
947155626135711744;0;1;1
947155526122696704;0;1;1
947155470921359360;1;0;1
947155264230297603;1;0;0
947154958339788801;1;0;0
947154333799469056;0;0;1
947154315059359745;0;1;0
947154261590401026;0;1;1
947153803937243136;0;1;1
947153411711164416;0;0;1
947153391041548288;0;1;0
